"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 06/06/2023

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 38.8958 North,-100.9792 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
pet: pet (Grass Reference Evapotranspiration (ETo))
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
********************************************************
Year,Month,aet(mm),PDSI(unitless),pet(mm),ppt(mm),soil(mm),tmax(degC),tmin(degC)
1958,1,10.5,-0.12,12.2,10.6,6.5,8.33,-7.7
1958,2,5.1,0.31,5.1,16.7,6.5,6.18,-7.04
1958,3,0,2.07,0,72.9,6.5,2.98,-7.13
1958,4,101.9,3.86,101.9,42.3,24.9,15.77,2.15
1958,5,115.6,4.43,157.6,113.9,17.5,25.53,10.86
1958,6,80.4,4.19,198.6,80.6,13.7,29.69,14.17
1958,7,142.1,5.95,207.9,147.1,11.3,30.51,16.51
1958,8,76,6,201.5,78.2,9.6,32.6,16.51
1958,9,26.4,4.65,168.8,26.5,8.4,28.94,12.66
1958,10,8.7,3.74,122.3,8.1,7.4,22.78,3.75
1958,11,19.2,3.4,70.4,19.5,6.7,13.74,-3.29
1958,12,8.4,3.05,9.5,8.5,6.6,7.47,-7.2
1959,1,0,3.06,0,15.2,6.6,5.18,-10.72
1959,2,4.6,2.92,4.6,7.1,6.6,6.45,-7.56
1959,3,46.9,2.8,93.8,31.3,6,13.32,-3.65
1959,4,17.3,1.9,128.6,17.7,5.5,18.88,1.47
1959,5,63.1,1.4,157.9,66,5.1,24.24,9.48
1959,6,40,-1.68,220.2,41.7,4.7,32.17,15.68
1959,7,61.1,-1.58,231.6,64,4.4,32.37,15.94
1959,8,64.8,-1.2,222,67.9,4.2,34.04,18.02
1959,9,60.7,-0.78,157.8,63.6,3.9,26.48,10.11
1959,10,92,2.31,103.6,96.6,3.7,18.38,2.58
1959,11,1.1,1.51,66.9,0.9,3.5,11.92,-6.22
1959,12,7.9,0.83,45,8.1,3.3,9.84,-5.5
1960,1,0,1.51,0,27,3.3,3.37,-9.92
1960,2,0,2.47,0,38.2,3.3,0.51,-10.67
1960,3,22,2.91,22,19.4,13.1,7.42,-6.07
1960,4,95,3.77,149.8,46.5,10.9,21.38,4.39
1960,5,41.1,2.52,174.5,41.6,9.3,24.53,7.72
1960,6,76.6,2.44,193.8,79.4,8.2,29.51,14.02
1960,7,40.3,1.57,234.8,41.5,7.3,32.8,16.43
1960,8,22.4,-1.97,232.2,22.8,6.6,33.73,16.53
1960,9,33.2,-2.32,171,34.4,6,29.03,11.87
1960,10,39.6,-1.68,121.8,41.2,5.5,22.06,5.41
1960,11,5,-2.02,77.9,4.8,5.1,14.43,-3.47
1960,12,5.6,-1.29,5.6,21.2,5.1,6.26,-7.08
1961,1,6.9,-1.32,6.9,0,5.1,8.41,-9.01
1961,2,13.4,-1.54,53.7,5.3,4.7,11.08,-5.89
1961,3,26.5,-1.61,87,27.6,4.4,12.74,-2.08
1961,4,25.2,-1.76,121.5,26.2,4.1,16.93,0.44
1961,5,94.5,-1.1,150.8,99.2,3.9,22.75,8.02
1961,6,87.6,-0.59,189.9,92,3.7,29.86,14.12
1961,7,69.8,0.23,218.4,73.3,3.5,32.86,17.24
1961,8,83.9,1.82,188.6,88.2,3.3,31.53,16.93
1961,9,63.1,2.08,147.5,66.2,3.2,24.51,8.93
1961,10,22.6,1.82,117.3,23.6,3,21.48,2.87
1961,11,33.8,2.39,46.1,35.5,2.9,9.15,-4.14
1961,12,0,2.43,0,13.7,2.9,3.86,-9.46
1962,1,0,2.35,0,10.4,2.9,3.31,-11.58
1962,2,27.7,2.24,42.5,4.5,2.8,10.27,-6.5
1962,3,30.2,1.9,84.6,31.6,2.7,11.94,-5.22
1962,4,15.5,0.95,136.9,16.2,2.6,20.18,3.15
1962,5,63.4,-1.49,195.5,66.6,2.5,28.86,11.02
1962,6,108.7,0.97,182.3,114.3,2.4,28.15,13.97
1962,7,94.4,1.74,217.1,99.2,2.3,32.13,17.19
1962,8,42.8,1.23,218,44.9,2.3,33.71,16.48
1962,9,45.1,1.14,140.8,47.4,2.2,25.66,11.12
1962,10,10.1,0.62,121.1,10.6,2.1,23.13,5.18
1962,11,11.6,-0.21,68.9,12.2,2.1,13.47,-1.48
1962,12,4.9,-1.23,37.7,5,2,9.44,-5.97
1963,1,0,-0.95,0,11.2,2,1.28,-14.54
1963,2,12.2,-1.53,67.2,1.5,1.9,12.56,-5.53
1963,3,27.2,-1.79,107,28.5,1.9,15.5,-1.14
1963,4,8.3,-2.72,154.4,8.6,1.8,22.5,4.08
1963,5,47.9,-3.28,176.6,50.4,1.8,26.45,10.73
1963,6,55.5,-3.61,234.6,58.4,1.7,32.55,16.19
1963,7,75.3,-3.16,257.8,79.2,1.7,35.67,19.23
1963,8,34.5,-3.33,214.2,36.2,1.7,33.38,17.82
1963,9,122.2,-1.15,163.5,128.6,1.6,28.78,14.4
1963,10,3.8,-1.72,141.5,4,1.6,26.55,8.13
1963,11,5,-2.08,81.6,5.2,1.5,15.58,-2.68
1963,12,0,-1.71,0,10.1,1.5,3.67,-10.64
1964,1,10,-2.05,28.2,0,1.5,10.16,-8.19
1964,2,4,-1.5,4,16.9,1.5,5.81,-7.53
1964,3,25.4,-1.64,86.6,13.8,1.5,12,-5.76
1964,4,25.2,-1.92,133.9,26.4,1.5,19.52,3.04
1964,5,113.2,-1.26,189.9,119.1,1.4,27.12,9.8
1964,6,55.4,-1.63,215.3,58.3,1.4,30.42,13.45
1964,7,33.6,-2.55,267,35.3,1.4,36.11,19.01
1964,8,21.8,-3.21,230.2,22.9,1.3,32.56,15.69
1964,9,39,-3.25,166.5,41.1,1.3,27.51,11.89
1964,10,3.6,-3.56,133.6,3.8,1.3,22.81,3.22
1964,11,15.1,-3.28,68,15.9,1.3,12.99,-2.39
1964,12,3.6,-3.1,5.2,3.6,1.2,7.81,-8.95
1965,1,7.6,-3.23,24.2,7.8,1.2,9.52,-7.61
1965,2,3.4,-2.75,3.4,11,1.2,7.25,-9.44
1965,3,5.9,-2.11,5.9,14.1,1.2,7.09,-8.53
1965,4,23.2,-2.43,139.8,8.8,1.2,21.78,4.31
1965,5,66.7,-2.74,189.9,70.2,1.2,26.42,9.77
1965,6,165,2.17,186.7,173.7,1.2,27.92,14.29
1965,7,46.9,1.5,229.2,49.4,1.1,33.16,17.81
1965,8,85.1,2.29,195.9,89.6,1.1,30.92,15.39
1965,9,105.8,3.86,120.3,111.4,1.1,22.75,8.59
1965,10,93.5,5.25,120.8,98.4,1.1,22.57,4.95
1965,11,0.4,4.09,70.9,0.4,1.1,15.22,-0.67
1965,12,18.1,3.76,29.6,18.9,1.1,8.53,-5.75
1966,1,0,3.56,0,12.3,1.1,2.18,-12.06
1966,2,1.5,3.49,1.5,12.8,1.1,4.61,-8.52
1966,3,25.2,2.58,105.8,3,1,16.1,-2.27
1966,4,19.9,1.82,124.4,20.9,1,17.96,1.28
1966,5,6.8,-2.81,190.2,7.2,1,27.06,7.86
1966,6,60.8,-2.93,216.8,64,1,30.81,14.72
1966,7,100.6,-1.78,240.7,105.9,1,34.68,19.89
1966,8,58.1,-1.31,191.6,61.1,1,29.68,15.36
1966,9,60.9,-0.89,156.3,64.1,1,27.1,11.05
1966,10,15.4,-1.1,129.3,16.2,0.9,21.98,2.65
1966,11,2.8,-1.48,66.8,2.9,0.9,13.68,-3.51
1966,12,1.7,-1.15,1.7,11.5,0.9,5.75,-9.34
1967,1,12.6,-1.02,12.6,5.9,0.9,8.04,-7.28
1967,2,3.1,-1.66,58.2,0.4,0.9,11.53,-7.2
1967,3,1.9,-2.56,106.1,2,0.9,17.57,-2.22
1967,4,36.2,-2.49,143.1,38.1,0.9,21.1,4.13
1967,5,102.4,-1.51,147.7,107.8,0.9,22.12,6.73
1967,6,143.8,2.42,174.2,151.3,0.9,27.73,13.56
1967,7,62.5,2.41,191.3,65.7,0.9,30.48,16.69
1967,8,49.6,2.22,188.7,52.2,0.9,30.9,14.82
1967,9,40.7,1.86,143.8,42.9,0.8,26.64,10.24
1967,10,5.4,1.1,128.6,5.6,0.8,23.32,3.33
1967,11,6.8,0.65,65.1,7.2,0.8,13,-4
1967,12,3.1,0.68,3.1,9.9,0.8,6.3,-8.31
1968,1,2.9,-0.21,2.9,0.8,0.8,7.23,-9.11
1968,2,8,-0.97,25.1,3.6,0.8,9.64,-7.72
1968,3,7.8,-1.85,111.1,8.2,0.8,17.14,-2.47
