RepID,Drought or Watered,Genotype,SoilLocation,SoilHabitat,Block,Germination,GerminationDate,Harvest Date,Timepoint,Height_Jan29,Height_Feb5,Height_Feb12,Height_Feb19,GrowthRate1,GrowthRate2,GrowthRate3,GrowthRate4,AvgGrowthRate,CCI_Feb3,CCI_Feb17,FirstFreshRootWeight,FirstDryRootWeight,RootMassRate1,FirstDryShootWeight,ShootMassRate1,SecondFreshRootWeight,SecondDryRootWeight,RootMassRate2,SecondDryShootWeight,ShootMassRate2,ThirdFreshRootWeight,ThirdDryShootWeight,ThirdDryRootWeight,RootMassRate,ShootMassRate,TotalMassRate,RootShootRatio
1,D,B73,SVR,Agriculture,A,Y,1/24/2020,2/24/2020,middle,13,19.25,19.5,28.25,2.166666667,1.480769231,0.975,1.046296296,1.417183048,23.3,21.6,,,,,,1.16,0.219965,0.007095645,0.141,0.004548387,,,,0.007095645,0.004548387,0.011644032,1.560035461
2,W,B73,SVR,Agriculture,A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,Mo17,SVR,Agriculture,A,Y,1/27/2020,2/10/2020,early,3.5,6.75,,,1.166666667,0.675,,,0.920833333,1.2,,0.92,0.21,0.015,0.04,0.002857143,,,,,,,,,0.015,0.002857143,0.017857143,5.25
4,W,Mo17,SVR,Agriculture,A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,B73,SVR,Native,A,Y,1/24/2020,3/4/2020,late,11.5,16,16.75,25,1.916666667,1.230769231,0.8375,0.925925926,1.227715456,1.1,12.9,,,,,,,,,,,1.14,0.249,0.127,0.003175,0.006225,0.0094,0.510040161
6,W,B73,SVR,Native,A,Y,1/24/2020,3/4/2020,late,12.5,26,36.75,37.5,2.083333333,2,1.8375,1.388888889,1.827430556,3.9,7.3,,,,,,,,,,,1.53,0.471,0.264240942,0.006606024,0.011775,0.018381024,0.561021108
7,D,Mo17,SVR,Native,A,Y,1/24/2020,3/4/2020,late,8,10.75,12.75,14.75,1.333333333,0.826923077,0.6375,0.546296296,0.836013177,9,9.4,,,,,,,,,,,0.43,0.058,0.081,0.002025,0.00145,0.003475,1.396551724
8,W,Mo17,SVR,Native,A,Y,1/27/2020,3/4/2020,late,4.25,4,5.5,6,1.416666667,0.4,0.323529412,0.25,0.59754902,2.2,,,,,,,,,,,,0.95,0.025,0.117,0.003162162,0.000675676,0.003837838,4.68
9,D,B73,Control,Control,A,Y,1/24/2020,2/10/2020,early,7,9.25,,,1.166666667,0.711538462,,,0.939102564,2.8,14.2,0.65,0.24,0.014117647,0.04,0.002352941,,,,,,,,,0.014117647,0.002352941,0.016470588,6.000000425
10,W,B73,TLI,Agriculture,A,Y,1/24/2020,3/4/2020,late,8.75,23,34.25,38,1.458333333,1.769230769,1.7125,1.407407407,1.586867877,11.8,11.5,,,,,,,,,,,2.4,0.555,0.344,0.0086,0.013875,0.022475,0.61981982
11,D,Mo17,TLI,Agriculture,A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
12,W,Mo17,TLI,Agriculture,A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
13,D,B73,TLI,Native,A,Y,1/24/2020,3/4/2020,late,9.5,14,17.5,25.25,1.583333333,1.076923077,0.875,0.935185185,1.117610399,16.9,13.3,,,,,,,,,,,1.14,0.199,0.196885408,0.004922135,0.004975,0.009897135,0.989373907
14,W,B73,TLI,Native,A,Y,1/27/2020,3/4/2020,late,7,17.75,30.25,32.5,2.333333333,1.775,1.779411765,1.354166667,1.810477941,16.8,15.7,,,,,,,,,,,1.65,0.431,0.215,0.005810811,0.011648649,0.017459459,0.498839907
15,D,Mo17,TLI,Native,A,Y,1/27/2020,2/24/2020,middle,5,4.5,12.5,22,1.666666667,0.45,0.735294118,0.916666667,0.942156863,2,6.2,,,,,,1.66,0.274,0.009785714,0.095,0.003392857,,,,0.009785714,0.003392857,0.013178571,2.884210564
16,W,Mo17,TLI,Native,A,Y,1/27/2020,2/24/2020,middle,6.75,22.75,34.75,38,2.25,2.275,2.044117647,1.583333333,2.038112745,9.9,16,,,,,,2.27,0.43044875,0.01537317,0.261,0.009321429,,,,0.01537317,0.009321429,0.024694599,1.64922889
17,D,B73,KNZ,Native,A,Y,1/24/2020,3/4/2020,late,8.5,16,17.5,22.75,1.416666667,1.230769231,0.875,0.842592593,1.091257123,1.5,6.8,,,,,,,,,,,1.5,0.257,0.171,0.004275,0.006425,0.0107,0.66536965
18,W,B73,KNZ,Native,A,Y,1/24/2020,2/24/2020,middle,9.5,22.5,37.25,38.5,1.583333333,1.730769231,1.8625,1.425925926,1.650632123,4.7,6.1,,,,,,1.81,0.226,0.007290323,0.276,0.008903226,,,,0.007290323,0.008903226,0.016193549,0.818840609
19,D,Mo17,KNZ,Native,A,Y,1/27/2020,3/4/2020,late,7,7.75,15.75,24.5,2.333333333,0.775,0.926470588,1.020833333,1.263909314,1.5,9.7,,,,,,,,,,,1.51,0.221,0.260786812,0.007048292,0.005972973,0.013021265,1.180030822
20,W,Mo17,KNZ,Native,A,Y,1/29/2020,3/4/2020,late,,14.5,21,32.5,,1.8125,1.4,1.477272727,1.172443182,9.5,7.9,,,,,,,,,,,2.14,0.303,0.285,0.008142857,0.008657143,0.0168,0.940594059
21,D,B73,HAY,Native,A,Y,1/24/2020,3/4/2020,late,7.25,12,14.25,18,1.208333333,0.923076923,0.7125,0.666666667,0.877644231,2.7,12.2,,,,,,,,,,,1.26,0.222,0.293,0.007325,0.00555,0.012875,1.31981982
22,W,B73,HAY,Native,A,Y,1/27/2020,3/4/2020,late,10,20.25,32,41.5,3.333333333,2.025,1.882352941,1.729166667,2.242463235,18.3,6,,,,,,,,,,,1.91,0.488,0.329869411,0.008915389,0.013189189,0.022104579,0.675961907
23,D,Mo17,HAY,Native,A,Y,1/31/2020,3/4/2020,late,,2.25,7,10.25,,0.375,0.538461538,0.5125,0.475320513,,8.6,,,,,,,,,,,0.3,0.047,0.072,0.002181818,0.001424242,0.003606061,1.531914894
24,W,Mo17,HAY,Native,A,Y,1/27/2020,2/24/2020,middle,4.5,17,25.5,34,1.5,1.7,1.5,1.416666667,1.529166667,3.8,16.8,,,,,,2.15,0.40769375,0.014560491,0.217,0.00775,,,,0.014560491,0.00775,0.022310491,1.878773032
25,D,B73,TLI,Agriculture,A,Y,1/24/2020,2/24/2020,middle,7.25,11.25,16.75,24.5,1.208333333,0.865384615,0.8375,0.907407407,0.954656339,1.5,10.6,,,,,,1.05,0.162,0.005225806,0.117,0.003774194,,,,0.005225806,0.003774194,0.009,1.384615099
26,W,B73,TLI,Agriculture,A,Y,1/24/2020,2/24/2020,middle,9,20.25,34.25,35.75,1.5,1.557692308,1.7125,1.324074074,1.523566595,1.9,10.3,,,,,,1.41,0.353,0.011387097,0.235,0.007580645,,,,0.011387097,0.007580645,0.018967742,1.502127721
27,D,B73,HAY,Native,A,Y,1/24/2020,2/10/2020,early,10.25,16.5,,,1.708333333,1.269230769,,,1.488782051,1.3,,0.74,0.2,0.011764706,0.08,0.004705882,,,,,,,,,0.011764706,0.004705882,0.016470588,2.500000213
28,W,B73,KNZ,Native,A,Y,1/29/2020,3/4/2020,late,3.75,15.25,29,32,3.75,1.90625,1.933333333,1.454545455,2.261032197,30,7.1,,,,,,,,,,,1.29,0.291,0.222791382,0.006365468,0.008314286,0.014679754,0.765606124
29,D,B73,SVR,Agriculture,B,Y,1/27/2020,3/4/2020,late,7.5,11,18.5,29.25,2.5,1.1,1.088235294,1.21875,1.476746324,1.7,8.8,,,,,,,,,,,1.41,0.257,0.243516162,0.006581518,0.006945946,0.013527464,0.947533704
30,W,B73,SVR,Agriculture,B,Y,1/24/2020,2/24/2020,middle,9.25,22,35.75,36.5,1.541666667,1.692307692,1.7875,1.351851852,1.593331553,21.3,11.3,,,,,,2.58,0.552,0.017806452,0.307,0.009903226,,,,0.017806452,0.009903226,0.027709678,1.798045607
31,D,Mo17,SVR,Agriculture,B,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
32,W,Mo17,SVR,Agriculture,B,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
33,D,B73,SVR,Native,B,Y,1/27/2020,2/24/2020,middle,8.5,14.25,19,26,2.833333333,1.425,1.117647059,1.083333333,1.614828431,6.3,7.8,,,,,,1.08,0.148,0.005285714,0.13,0.004642857,,,,0.005285714,0.004642857,0.009928571,1.138461512
34,W,B73,SVR,Native,B,Y,1/27/2020,2/10/2020,early,7,21.25,,,2.333333333,2.125,,,2.229166667,10.4,,1.55,0.27,0.019285714,0.11,0.007857143,,,,,,,,,0.019285714,0.007857143,0.027142857,2.454545374
35,D,Mo17,SVR,Native,B,Y,1/27/2020,3/4/2020,late,4.5,7,15,15.5,1.5,0.7,0.882352941,0.645833333,0.932046569,2.2,19.4,,,,,,,,,,,0.44,0.076,0.109,0.002945946,0.002054054,0.005,1.434210526
36,W,Mo17,SVR,Native,B,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
37,D,B73,TLI,Agriculture,B,Y,1/24/2020,3/4/2020,late,8.25,13.75,17,23.5,1.375,1.057692308,0.85,0.87037037,1.03826567,1.2,9.5,,,,,,,,,,,1.67,0.249,0.24,0.006,0.006225,0.012225,0.963855422
38,W,B73,TLI,Agriculture,B,Y,1/27/2020,2/24/2020,middle,8.25,21,33.5,35.5,2.75,2.1,1.970588235,1.479166667,2.074938725,21.9,9,,,,,,1.59,0.30150375,0.010767991,0.3,0.010714286,,,,0.010767991,0.010714286,0.021482277,1.005012467
39,D,Mo17,TLI,Agriculture,B,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
40,W,Mo17,TLI,Agriculture,B,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
41,D,B73,TLI,Native,B,Y,1/27/2020,2/10/2020,early,7,8.75,,,2.333333333,0.875,,,1.604166667,1.3,,1.17,0.280566,0.020040429,0.07,0.005,,,,,,,,,0.020040429,0.005,0.025040429,4.0080858
42,W,B73,TLI,Native,B,Y,1/27/2020,3/4/2020,late,8,21.25,33.5,34.75,2.666666667,2.125,1.970588235,1.447916667,2.052542892,24.6,14.8,,,,,,,,,,,2.33,0.384,0.334,0.009027027,0.010378378,0.019405405,0.869791667
43,D,Mo17,TLI,Native,B,Y,1/27/2020,3/4/2020,late,2,3,13.75,20,0.666666667,0.3,0.808823529,0.833333333,0.652205882,3.1,12.8,,,,,,,,,,,1.92,0.243,0.331596476,0.008962067,0.006567568,0.015529634,1.364594551
